EmployeeID,Age,Gender,Education,Department,JobRole,Salary,YearsAtCompany,WorkLifeBalance,TrainingHours,PerformanceRating,Attrition
1,49,Male,Bachelors,Customer Support,Support Manager,128694,10,4,6,2,Yes
2,44,Female,MBA,IT,IT Manager,69131,7,4,4,2,No
3,22,Female,PhD,Operations,Operations Manager,30311,20,1,5,5,No
4,48,Female,Masters,HR,HR Executive,27747,15,3,2,4,No
5,57,Male,Bachelors,HR,HR Executive,28890,6,1,1,4,No
6,29,Female,PhD,Operations,Operations Manager,48897,20,2,6,4,No
7,34,Female,PhD,Customer Support,Support Executive,60920,3,2,1,2,No
8,38,Female,Masters,Marketing,SEO Specialist,97409,11,2,3,4,Yes
9,38,Male,Masters,Marketing,Marketing Executive,107798,20,4,8,5,No
10,27,Female,PhD,HR,Recruiter,27568,23,1,7,3,Yes
11,53,Female,MBA,IT,IT Manager,37666,4,2,8,4,No
12,53,Female,Masters,Finance,Finance Analyst,114135,22,3,4,3,No
13,55,Female,MBA,Operations,Logistics Coordinator,95592,2,1,2,1,No
14,34,Female,MBA,Customer Support,Support Executive,115982,8,3,9,4,Yes
15,59,Female,PhD,Customer Support,Support Manager,147096,19,1,4,5,No
16,52,Female,PhD,Marketing,Marketing Executive,106734,18,2,9,5,No
17,48,Female,PhD,Marketing,Marketing Manager,120259,11,4,9,4,No
18,21,Male,Bachelors,Operations,Operations Executive,91842,24,4,2,3,No
19,44,Female,PhD,Marketing,Marketing Executive,59766,21,4,8,4,No
20,32,Male,MBA,HR,HR Manager,77733,6,2,4,1,No
21,22,Female,Bachelors,IT,Developer,128041,21,3,0,1,No
22,46,Female,MBA,Sales,Sales Executive,129095,5,4,6,3,No
23,58,Female,Masters,HR,HR Executive,92863,4,4,5,3,No
24,26,Male,PhD,HR,Recruiter,76663,2,4,3,3,No
25,40,Male,Bachelors,Customer Support,Support Executive,27911,6,4,7,2,No
26,45,Female,Masters,IT,System Engineer,137561,22,3,2,4,No
27,22,Male,PhD,HR,Recruiter,56616,15,2,4,3,Yes
28,39,Female,PhD,HR,HR Executive,40151,15,3,5,1,No
29,28,Female,PhD,IT,Developer,30539,5,4,2,1,No
30,38,Male,PhD,Marketing,Marketing Manager,102505,21,3,8,4,No
31,41,Female,PhD,HR,HR Manager,111831,19,4,6,3,No
32,42,Female,Masters,HR,HR Executive,44830,21,2,5,5,No
33,54,Female,MBA,IT,IT Manager,73404,0,4,0,5,Yes
34,55,Female,PhD,IT,System Engineer,134616,16,4,4,3,No
35,51,Male,MBA,Marketing,Marketing Executive,142858,0,4,4,1,No
36,51,Female,Masters,Sales,Sales Executive,48093,2,4,1,2,No
37,46,Male,Bachelors,Sales,Sales Manager,91320,7,1,5,5,No
38,45,Male,Masters,Sales,Account Manager,35647,12,4,8,4,No
39,36,Male,MBA,HR,HR Manager,101429,11,3,1,2,No
40,45,Female,Masters,Customer Support,Support Manager,77921,21,2,0,4,Yes
41,57,Female,PhD,Customer Support,Support Manager,138632,7,1,4,4,No
42,55,Male,PhD,Finance,Finance Analyst,64734,7,4,1,4,No
43,39,Female,Bachelors,IT,Developer,53251,22,2,4,1,No
44,21,Female,Bachelors,HR,HR Manager,71175,21,4,4,1,No
45,25,Female,PhD,Customer Support,Support Manager,138429,22,3,2,5,No
46,48,Female,Masters,Marketing,Marketing Manager,79340,14,1,3,5,No
47,41,Female,Masters,Sales,Sales Manager,119758,3,1,4,2,No
48,51,Male,PhD,Marketing,Marketing Manager,90417,18,2,7,5,No
49,48,Female,PhD,Customer Support,Support Manager,116007,19,4,2,4,No
50,57,Female,Bachelors,Marketing,SEO Specialist,128691,2,1,9,3,Yes
51,22,Male,MBA,Marketing,SEO Specialist,122532,18,2,0,2,No
52,46,Male,Bachelors,Sales,Sales Manager,101797,1,3,3,2,No
53,49,Male,Bachelors,Marketing,SEO Specialist,32543,3,1,8,4,Yes
54,55,Male,Bachelors,HR,HR Executive,110999,3,2,7,5,No
55,43,Male,Masters,Customer Support,Support Executive,137856,2,1,0,4,No
56,39,Male,Bachelors,Operations,Operations Executive,72280,3,4,2,4,No
57,51,Male,Masters,Finance,Finance Analyst,89895,19,3,4,5,No
58,41,Male,PhD,HR,HR Executive,130955,20,3,6,5,No
59,34,Male,MBA,Sales,Account Manager,128033,4,3,1,4,No
60,58,Female,PhD,Sales,Sales Executive,26542,13,1,8,2,No
61,49,Male,PhD,Sales,Sales Executive,79693,18,4,0,4,No
62,24,Male,MBA,Customer Support,Support Executive,149707,5,4,5,3,No
63,23,Female,PhD,IT,IT Manager,111188,12,2,9,4,Yes
64,59,Female,PhD,Marketing,SEO Specialist,77224,2,1,8,4,No
